[17:35:20.337] Namespace(root_path='/storage/nfs_createproject_tciadataset/FDG-PET-CT-Lesions/Processing/Mahan_codes_docus/SwinUnet/imagesTr', label_path='/storage/nfs_createproject_tciadataset/FDG-PET-CT-Lesions/Processing/Mahan_codes_docus/SwinUnet/labelsTr', dataset='TCIA', list_dir='./lists/lists_Synapse', num_classes=2, output_dir='output', max_iterations=10000, max_epochs=10, batch_size=4, n_gpu=1, deterministic=1, base_lr=0.0001, img_size=400, seed=1234, cfg='configs/swin_tiny_patch4_window7_224_lite.yaml', data_aug='1', opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False)
[17:35:39.791] iteration on TRAIN 92 : loss : 0.451381
[17:35:39.934] iteration on TRAIN 93 : loss : 0.445957
[17:35:40.076] iteration on TRAIN 94 : loss : 0.475297
[17:35:40.218] iteration on TRAIN 95 : loss : 0.442032
[17:35:40.360] iteration on TRAIN 96 : loss : 0.445163
[17:35:40.506] iteration on TRAIN 97 : loss : 0.460076
[17:35:40.648] iteration on TRAIN 98 : loss : 0.439892
[17:35:40.790] iteration on TRAIN 99 : loss : 0.451397
[17:35:40.933] iteration on TRAIN 100 : loss : 0.445546
[17:35:41.078] iteration on TRAIN 101 : loss : 0.443817
[17:35:41.220] iteration on TRAIN 102 : loss : 0.443262
[17:35:41.362] iteration on TRAIN 103 : loss : 0.428101
[17:35:41.508] iteration on TRAIN 104 : loss : 0.450351
[17:35:41.651] iteration on TRAIN 105 : loss : 0.444734
[17:35:41.794] iteration on TRAIN 106 : loss : 0.435146
[17:35:41.936] iteration on TRAIN 107 : loss : 0.441960
[17:35:42.080] iteration on TRAIN 108 : loss : 0.450928
[17:35:42.223] iteration on TRAIN 109 : loss : 0.446099
[17:35:42.366] iteration on TRAIN 110 : loss : 0.466378
[17:35:42.510] iteration on TRAIN 111 : loss : 0.437892
[17:35:42.653] iteration on TRAIN 112 : loss : 0.437017
[17:35:42.797] iteration on TRAIN 113 : loss : 0.430984
[17:35:42.942] iteration on TRAIN 114 : loss : 0.433142
[17:35:43.086] iteration on TRAIN 115 : loss : 0.428566
[17:35:43.230] iteration on TRAIN 116 : loss : 0.427967
[17:35:43.374] iteration on TRAIN 117 : loss : 0.418862
[17:35:43.519] iteration on TRAIN 118 : loss : 0.410601
[17:35:43.662] iteration on TRAIN 119 : loss : 0.433215
[17:35:43.805] iteration on TRAIN 120 : loss : 0.435552
[17:35:43.949] iteration on TRAIN 121 : loss : 0.451125
